	Anderson	Andrews	Angelina	Aransas	Archer	Armstrong	Atascosa	Austin	Bailey	Bandera	Bastrop	Baylor	Bee	Bell	Bexar	Blanco	Bosque	Bowie	Brazoria	Brazos	Brewster	Briscoe	Brooks	Brown	Burleson	Burnet	Caldwell	Calhoun	Callahan	Cameron	Camp	Carson	Cass	Castro	Chambers	Cherokee	Childress	Clay	Cochran	Coke	Coleman	Collin	Collingsworth	Colorado	Comal	Comanche	Concho	Cooke	Coryell	Cottle	Crane	Crockett	Crosby	Culberson	Dallam	Dallas	Dawson	Deaf Smith	Delta	Denton	DeWitt	Dickens	Dimmit	Donley	Duval	Eastland	Ector	Edwards	Ellis	El Paso	Erath	Falls	Fannin	Fayette	Fisher	Floyd	Foard	Fort Bend	Franklin	Freestone	Frio	Gaines	Galveston	Garza	Gillespie	Glasscock	Goliad	Gonzales	Gray	Grayson	Gregg	Grimes	Guadalupe	Hale	Hall	Hamilton	Hansford	Hardeman	Hardin	Harris	Harrison	Hartley	Haskell	Hays	Hemphill	Henderson	Hidalgo	Hill	Hockley	Hood	Hopkins	Houston	Howard	Hudspeth	Hunt	Hutchinson	Irion	Jack	Jackson	Jasper	Jeff Davis	Jefferson	Jim Hogg	Jim Wells	Johnson	Jones	Karnes	Kaufman	Kendall	Kenedy	Kent	Kerr	Kimble	Kinney	Kleberg	Knox	Lamar	Lamb	Lampasas	La Salle	Lavaca	Lee	Leon	Liberty	Limestone	Lipscomb	Live Oak	Llano	Lubbock	Lynn	McCulloch	McLennan	McMullen	Madison	Marion	Martin	Mason	Matagorda	Maverick	Medina	Menard	Midland	Milam	Mills	Mitchell	Montague	Montgomery	Moore	Morris	Motley	Nacogdoches	Navarro	Newton	Nolan	Nueces	Ochiltree	Oldham	Orange	Palo Pinto	Panola	Parker	Parmer	Pecos	Polk	Potter	Presidio	Rains	Randall	Reagan	Real	Red River	Reeves	Refugio	Roberts	Robertson	Rockwall	Runnels	Rusk	Sabine	San Augustine	San Jacinto	San Patricio	San Saba	Schleicher	Scurry	Shackelford	Shelby	Sherman	Smith	Somervell	Starr	Stephens	Sterling	Stonewall	Sutton	Swisher	Tarrant	Taylor	Terrell	Terry	Throckmorton	Titus	Tom Green	Travis	Trinity	Tyler	Upshur	Upton	Uvalde	Val Verde	Van Zandt	Victoria	Walker	Waller	Ward	Washington	Webb	Wharton	Wheeler	Wichita	Wilbarger	Willacy	Williamson	Wilson	Winkler	Wise	Wood	Yoakum	Young	Zapata	Zavala
2020/4/8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020/4/9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020/4/10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020/4/11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020/4/12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020/4/13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020/4/14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020/4/15	NA	1.538712422	1.486168288	1.974638039	NA	NA	2.608559453	2.504935422	NA	NA	2.010241192	NA	3.433552754	2.369918482	2.05506941	1.796477574	NA	2.282638495	2.113105934	2.132402176	NA	NA	NA	2.437281223	1.968156074	2.516963998	1.720885044	2.256748469	2.438209737	2.361057843	3.07007286	NA	4.335737073	2.249110479	2.302012845	2.380155761	NA	NA	NA	NA	NA	1.930155815	NA	2.135190387	1.972165103	2.013433692	NA	NA	2.998954177	NA	NA	NA	2.264777989	NA	2.675355656	1.996622797	2.954887635	1.87192307	2.640225051	2.024040483	2.211763989	2.606041039	NA	2.038516149	NA	NA	1.859805865	NA	2.445758146	2.439883736	1.748562194	NA	2.171830546	1.625302859	NA	2.843319286	NA	1.921984049	NA	NA	2.640225051	NA	1.725615323	NA	2.968434549	NA	2.01076498	NA	1.517661742	1.852806889	2.211242993	2.364792082	1.5301649	1.876606395	NA	3.092511012	2.264777989	NA	2.133616467	2.20421789	2.966024437	NA	NA	2.033233182	2.236050551	2.787953255	2.297863434	2.004167127	2.310549033	2.317898699	2.183917216	NA	NA	NA	2.627287429	2.08434389	NA	NA	1.680753969	3.729275879	NA	2.10686625	NA	1.806104983	1.780888893	2.881927199	NA	2.365101568	3.273273635	NA	NA	2.765117267	NA	NA	2.484500612	2.438209737	1.837481287	NA	1.871171964	NA	2.175105098	1.898893357	NA	1.961765204	2.472791068	NA	1.898893357	NA	2.348649829	3.335603294	NA	1.98453473	NA	NA	NA	2.264777989	2.236050551	2.171878894	2.027864541	2.49076201	NA	1.533344469	1.974275368	NA	2.438209737	NA	2.001353077	3.525810865	NA	NA	2.71358009	NA	NA	NA	1.727969938	NA	2.438209737	1.924268859	2.25536249	3.779721689	3.141381172	NA	3.088333622	2.030955415	1.884896891	NA	NA	1.967490031	NA	NA	NA	NA	NA	NA	NA	3.352379359	NA	1.560722383	NA	2.388953612	3.467796821	2.084454351	NA	NA	NA	NA	2.493058481	NA	1.97349881	NA	1.556582613	NA	NA	NA	NA	3.315217315	2.414345712	2.259264014	NA	3.55709232	NA	2.754461774	1.919592431	2.068387606	2.169723672	3.046413521	2.423401488	NA	2.319113854	4.224619584	2.140145291	1.890516018	4.437562029	2.178919586	NA	2.693649896	1.943683934	2.390277048	NA	1.946030549	NA	1.127239601	2.001725226	2.486582342	NA	NA	2.041012731	NA	NA	2.685765811	NA
2020/4/16	3.487496154	1.255619582	1.120583871	1.471989664	NA	NA	1.9816892	2.030007671	NA	3.033607578	1.84909909	NA	2.748822221	1.856360926	1.599234782	1.269283832	NA	1.880930635	1.668945608	1.634993626	NA	NA	NA	1.855202309	1.540410025	2.130110752	1.326164253	1.868373637	1.883833384	1.914901576	2.527207171	NA	3.652610445	1.837147385	1.701439103	2.177649311	NA	NA	NA	NA	NA	1.413506485	NA	1.522389702	1.511289206	1.459383152	NA	NA	2.581470129	NA	NA	NA	1.798206194	NA	2.30990709	1.583845538	2.294831734	1.565827726	2.032584621	1.543729694	1.696425088	1.936937051	NA	1.522622105	NA	NA	1.401158991	NA	1.872678486	1.951726909	1.246183533	NA	1.609267391	1.620177071	NA	2.370473895	NA	1.453843413	NA	NA	2.032584621	NA	1.31073176	NA	2.938498023	NA	1.657597523	2.640225051	1.101098155	1.508565992	1.56872195	1.961114783	1.066541269	1.315038749	NA	2.529850823	1.798206194	NA	1.613826241	1.688849023	2.734035225	NA	NA	1.570021715	1.888126517	2.070284899	1.760868943	1.639219557	1.740002403	1.809384031	1.797439331	NA	NA	NA	1.910743903	2.156653091	NA	3.605165501	1.255472484	2.856283997	NA	1.632837732	NA	1.53280972	1.562844026	2.361417103	NA	1.801538777	3.170369199	NA	NA	2.991778444	NA	NA	2.358945094	1.883833384	1.258166286	NA	1.428523719	NA	1.549168976	1.619439172	NA	1.516523149	1.84163424	NA	1.619439172	NA	1.870639993	2.79496008	2.838896579	1.519909486	NA	NA	NA	1.798206194	1.888126517	1.757502486	1.580689098	1.861075726	NA	1.145621699	1.412231687	NA	1.883833384	NA	1.607072641	3.180659175	2.670405212	NA	2.274460645	2.679472359	NA	NA	1.273145035	NA	1.883833384	1.459397968	1.743118344	3.568385639	2.418849055	NA	3.231706467	1.896137426	1.46024268	NA	NA	1.51646401	NA	NA	NA	NA	NA	NA	NA	2.76341862	NA	1.396036781	NA	1.788536773	2.827577056	1.503630834	NA	NA	NA	NA	1.980898558	NA	1.487812577	NA	1.182220585	NA	NA	NA	NA	2.561814564	1.886645344	1.792927659	NA	2.79964597	NA	2.097117964	1.518722067	1.690580086	1.969119412	2.877371077	1.871929379	NA	1.703132106	3.24141986	1.66900645	1.369335681	4.537432053	1.828795992	NA	2.063494665	1.496944489	1.878861497	NA	1.449671527	NA	1.093940634	1.510883062	1.919701148	NA	NA	1.60099606	NA	NA	1.939641194	NA
2020/4/17	3.044253116	1.057019244	0.989763637	1.138967101	NA	NA	1.481254604	1.641133285	NA	2.59689075	1.773375076	NA	2.479446544	1.521750139	1.283285339	0.999597883	NA	1.595969869	1.388903041	1.333123494	NA	NA	NA	1.532455413	1.249973119	1.816290448	1.034334408	1.607189938	1.540607122	1.594186676	2.139178609	NA	3.075022456	1.655803758	1.336866719	2.059766465	NA	NA	NA	NA	NA	1.094144898	NA	1.152456127	1.187587239	1.122441528	2.640225051	3.205990614	2.320462137	NA	NA	NA	1.515923994	NA	2.22863657	1.320549858	2.132288381	1.395823166	1.625053574	1.237289445	1.462943801	1.541048307	NA	1.092752871	NA	NA	1.118276079	NA	1.449797662	1.653810083	0.945889358	NA	1.194956785	2.088095266	NA	2.048028589	NA	1.144055051	NA	NA	1.625053574	NA	1.049894722	NA	3.004485247	NA	1.333826546	2.032584621	0.839431263	1.202271076	1.154135137	1.673890652	0.785706043	1.108573232	NA	2.411366027	1.515923994	NA	1.308990863	1.285180993	2.642072776	NA	NA	1.289656	1.639281034	1.547881281	1.470264389	1.268972902	1.384099602	1.471294228	1.54833089	NA	2.640225051	NA	1.524798725	2.237210204	NA	3.008451093	1.071487855	2.23800635	NA	1.372032409	NA	1.346150037	1.373035986	1.845554463	NA	1.440305917	2.771928723	NA	NA	3.549211481	NA	NA	2.766890085	1.540607122	0.872927322	NA	1.127167808	NA	1.13130286	1.65021582	3.406365028	1.239371731	1.370841662	NA	1.65021582	NA	1.576140363	2.026127364	2.084494865	1.188421466	NA	NA	NA	1.515923994	1.639281034	1.551115442	1.339230792	1.448048526	NA	0.982387005	1.089255261	NA	1.540607122	NA	1.331732579	2.885625784	2.015351478	NA	2.005659532	2.085690722	NA	NA	0.984382804	NA	1.540607122	1.183149976	1.417177985	3.159307845	1.958692635	NA	3.384743284	2.008699785	1.252713052	NA	3.205990614	1.280489945	NA	NA	NA	NA	NA	NA	NA	2.311462873	NA	1.367116586	NA	1.480171074	2.377051605	1.134162541	NA	NA	NA	NA	1.589500772	NA	1.157589679	NA	0.940408446	2.640225051	NA	NA	NA	1.922784625	1.582179317	1.489762632	NA	2.224553974	NA	1.568156434	1.143358327	1.452115782	1.834009834	2.751686893	1.530355085	NA	1.228185273	2.637093592	1.202431786	1.022644383	4.190416774	1.629517232	NA	1.573717576	1.207337049	1.528798962	NA	1.135405631	NA	1.371922356	1.242806388	1.784378157	3.406365028	3.541834109	1.232352438	NA	NA	1.606125533	NA
